ID,Kategori,Soru,Cevap,Kaynak
1,Kolay,Yabancı ülkelerle yapılan sosyal güvenlik sözleşmeleri kapsamında Kurum sağlık yardımlarından yararlandırılan kişilerin sağlık hizmetleri nasıl gerçekleştirilir?,MEDULA sistemi üzerinden provizyon alınarak gerçekleştirilecektir.,1.7
2,Zor,Yabancı ülkelerle yapılan sosyal güvenlik sözleşmesi kapsamında iş kazası ve meslek hastalığı sigortaları ve tedavi edilmek üzere Türkiye'ye gönderilen sigortalıların hangi tedavi masrafları Kurumca karşılanmaz?,"YUPASS provizyon sisteminde ""açıklamalar"" bölümünde belirtilen hastalıklar dışındaki tedavi masrafları.",1.7
3,Kolay,Azasitidin hangi uzman hekimler tarafından reçete edilebilir?,Hematoloji uzman hekimleri tarafından.,4.2
4,Zor,Miyelodisplastik Sendromda (MDS) görülen dirençli anemi tedavisinde decitabinin kullanılabilmesi için kemik iliği blast oranının hangi değerin üzerinde artmış olması gerekmektedir?,%5'in üzerinde.,4.2
5,Kolay,Gözlük cam ve çerçeve reçetesi hangi uzman hekimler tarafından düzenlenebilir?,Göz sağlığı ve hastalıkları uzman hekimleri ile bu dalda ihtisas yapan asistan hekimler.,3.3
6,Zor,"Kişinin 16 yaşında olması durumunda, gözlük camı ve çerçevesinin miat süresi ne kadardır ve hangi durumda bu süre dolmadan yenilenebilir?","2 yıldır. Kırma kusurunun 0,5 diyoptrilik değişiklik göstermesi halinde süresinden önce yenilenebilir.",3.3
7,Kolay,"Yurt dışında tedavi giderleri Kurumun ödediği tutarları aşarsa, aşan kısım kim tarafından karşılanır?",İşverenlerce karşılanır.,2.5
8,Zor,"Yurt dışına görevlendirilen kişilerin sağlık hizmetlerinin Kurumca ilgili ülkede sağlık sigortası yaptırmak suretiyle sağlanması durumunda, sağlık hizmeti giderleri ödenir mi?",Ödenmez.,2.5
9,Kolay,Lizozomal hastalıklar için düzenlenen sağlık kurulu raporunun süresi ne kadardır?,1 yıldır.,4.2
10,Zor,Lizozomal hastalıklar için sağlık kurulu raporunda bulunması gereken hekimler hangi branşlardan olabilir ve bu hekimlerin bulunmadığı yerlerde reçete düzenleme yetkisi hangi uzman hekimlere aittir?,"Gastroenteroloji, çocuk metabolizma, çocuk endokrinolojisi ve metabolizma hastalıkları veya nöroloji uzman hekimleri. Bu hekimlerin bulunmadığı yerlerde ise çocuk sağlığı ve hastalıkları veya iç hastalıkları uzman hekimlerince reçete düzenlenir.",4.2
