ID,Kategori,Soru,Cevap,Kaynak
1,Genel,İkinci basamak özel sağlık hizmeti sunucularında yapılan hekim ve diş hekimi muayenesinden katılım payı ne kadardır?,50 TL.,1.8.1
2,Genel,"Organ, doku ve kök hücre nakli tedavilerinde katılım payı alınır mı?","Hayır, bu tedavilerden katılım payı alınmaz.",1.8.5
3,Genel,Yoğun bakım hizmetleri için ilave ücret talep edilebilir mi?,"Hayır, yoğun bakım hizmetlerinden ilave ücret alınamaz.",1.9.3
4,Genel,Yeşil alan muayenesi işlem kodu nedir?,520.021.,2.2.1.B-2
5,Genel,Organ nakli durumunda vericinin (donör) yol giderleri karşılanır mı?,"Evet, vericinin yol ve gündelik giderleri Kurumca karşılanır.",2.6.5
6,Genel,3713 sayılı Kanun kapsamındaki harp malulleri katılım payından muaf mıdır?,"Evet, kendileri ve bakmakla yükümlü oldukları kişiler muaftır.",1.8.5
7,Genel,Acil servislerde yapılan 'Yeşil Alan' muayeneleri için katılım payı ödenir mi?,"Evet, yeşil alan muayeneleri için katılım payı alınır.",1.8.5
8,Genel,Kardiyovasküler cerrahi işlemleri için ilave ücret alınabilir mi?,"Hayır, istisnai sağlık hizmetleri hariç olmak üzere alınamaz.",1.9.3
9,Genel,Yardımcı üreme yöntemi (Tüp Bebek) tedavilerinde birinci deneme için katılım payı oranı nedir?,%30.,1.8.4
10,Genel,Kaplıca tedavileri için yol gideri ödenir mi?,"Evet, tedavinin sağlanabildiği en yakın kaplıca tesisine göre ödenir.",2.6.6
11,Genel,Diyaliz tedavisi için hastanın servis kullanması durumunda ayrıca yol parası ödenir mi?,"Hayır, servis hizmetinden faydalananlara ayrıca yol gideri ödenmez.",2.6.1.A
12,Genel,Acil haller nedeniyle sözleşmesiz bir hastaneye gidildiğinde tedavi ücreti ödenir mi?,"Evet, acil halin Kurumca kabul edilmesi şartıyla SUT bedelleri üzerinden ödenir.",2.3
13,Genel,Gazi ve harp malullerinden otelcilik hizmeti için ilave ücret alınır mı?,"Hayır, bu kişilerden otelcilik hizmeti farkı alınmaz.",1.9.2
14,Genel,Yurtdışına tedaviye gönderilen hastanın refakatçisinin yol gideri karşılanır mı?,"Evet, raporda öngörülmesi halinde bir kişiyle sınırlı olmak üzere karşılanır.",2.5.3.C-1
15,Genel,Aile hekimliği muayenelerinden katılım payı alınır mı?,"Hayır, aile hekimi muayenelerinden katılım payı alınmaz.",1.8.1
